SYMBOL,Name,ISIN,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,TIMESTAMP
NSE:20MICRONS,20 Microns Limited,INE144J01027,EQ,52.25,53.1,52,52.75,52.85,31-Jan-18
NSE:3IINFOTECH,3i Infotech Limited,INE748C01020,EQ,6.2,6.5,6.1,6.15,6.2,31-Jan-18
NSE:3MINDIA,3M India Limited,INE470A01017,EQ,18875,18875,18657,18796.15,18800,31-Jan-18
NSE:5PAISA,5Paisa Capital Limited,INE618L01018,EQ,295.3,305,287,290.2,291,31-Jan-18
NSE:63MOONS,63 moons technologies limited,INE111B01023,EQ,108,109.5,104,104.8,104.5,31-Jan-18
NSE:8KMILES,8K Miles Software Services Limited,INE650K01021,EQ,729.9,753,710,736.85,740,31-Jan-18
NSE:A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,EQ,37.4,38.65,37.25,37.95,37.95,31-Jan-18
NSE:AARTIDRUGS,Aarti Drugs Limited,INE767A01016,EQ,648.95,651.55,623,624.95,626,31-Jan-18
NSE:AARTIIND,Aarti Industries Limited,INE769A01020,EQ,1035,1061.8,1014.9,1056.75,1060.9,31-Jan-18
NSE:AARVEEDEN,Aarvee Denims & Exports Limited,INE273D01019,EQ,50,50,48.3,49.6,49.4,31-Jan-18
NSE:ABAN,Aban Offshore Limited,INE421A01028,EQ,211.85,215.6,208.35,211,211,31-Jan-18
NSE:ABB,ABB India Limited,INE117A01022,EQ,1600.05,1665,1585.55,1653.2,1654,31-Jan-18
NSE:ABBOTINDIA,Abbott India Limited,INE358A01014,EQ,5505,5650,5457.1,5625.05,5619,31-Jan-18
NSE:ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,EQ,170.7,172.8,169.85,170.85,171.25,31-Jan-18
NSE:ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,EQ,160,164,158.4,163.05,163.85,31-Jan-18
NSE:ACC,ACC Limited,INE012A01025,EQ,1728.1,1737.9,1700.05,1715.25,1716.2,31-Jan-18
NSE:ACCELYA,Accelya Kale Solutions Limited,INE793A01012,EQ,1405.1,1497,1405.05,1441.65,1444,31-Jan-18
NSE:ACE,Action Construction Equipment Limited,INE731H01025,EQ,169,175,168.65,172.05,172.3,31-Jan-18
NSE:ADANIENT,Adani Enterprises Limited,INE423A01024,EQ,209.95,218.75,209.15,213.2,212.5,31-Jan-18
NSE:ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,EQ,428,435.5,424.5,428.85,428.15,31-Jan-18
NSE:ADANIPOWER,Adani Power Limited,INE814H01011,EQ,37.05,38.25,36.1,36.65,36.55,31-Jan-18
NSE:ADANITRANS,Adani Transmission Limited,INE931S01010,EQ,208,215,206.6,208.9,208.2,31-Jan-18
NSE:ADFFOODS,ADF Foods Limited,INE982B01019,EQ,262.15,275,258,270.7,272,31-Jan-18
NSE:ADORWELD,Ador Welding Limited,INE045A01017,EQ,495,524.9,495,502.1,500.15,31-Jan-18
